id,name,code,description,status,approver_id,approved_at,created_at,updated_at,created_by,leader_id,plant_id,cost_center_id
108,TU1611G-33-X74Z1_P001,TU1611G-33-X74Z1_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
109,TU1611G3-33-X74Z2_P001,TU1611G3-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
110,TU1611G2-33-X74Z2_P001,TU1611G2-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
111,TU1611G1-33-X74Z2_P001,TU1611G1-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
112,TU1611C-33-X74Z2_P001,TU1611C-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
113,TU1611BU-33-X74Z2_P001,TU1611BU-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
114,TU1611BU-33-X74Z1_P001,TU1611BU-33-X74Z1_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
115,TU1611BU3-33-X74Z2_P001,TU1611BU3-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
116,TU1611BU2-33-X74Z2_P001,TU1611BU2-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
117,TU1611BU1-33-X74Z2_P001,TU1611BU1-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
118,TU1611BR1-33-X74Z2_P001,TU1611BR1-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
119,TU1611B-33-X74Z2_P001,TU1611B-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
120,TU1611B-33-X74Z1_P001,TU1611B-33-X74Z1_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
121,TU1610YR-33-X108Z2_P001,TU1610YR-33-X108Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
122,TU1610YR-33-X108Z1_P001,TU1610YR-33-X108Z1_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
123,TU1610YR-33-X101USZ2_P001,TU1610YR-33-X101USZ2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
124,TU1610YR-33-X101USZ1_P001,TU1610YR-33-X101USZ1_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
125,TU1610YR2-33-X108Z2_P001,TU1610YR2-33-X108Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
126,TU1610YR2-33-X101USZ2_P001,TU1610YR2-33-X101USZ2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
127,TU1610YR2-20Z34_P001,TU1610YR2-20Z34_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
128,TU1610YR2-20Z2_P001,TU1610YR2-20Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
129,TU1610YR2-100Z34_P001,TU1610YR2-100Z34_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
130,TU1610YR2-100Z2_P001,TU1610YR2-100Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
131,TU1610YR2-100-X108Z2_P001,TU1610YR2-100-X108Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
132,TU1610YR-20Z34_P001,TU1610YR-20Z34_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
133,TU1610YR-20Z2_P001,TU1610YR-20Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
134,TU1610YR-20Z1_P001,TU1610YR-20Z1_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
135,TU1610YR-20-X214Z2_P001,TU1610YR-20-X214Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
136,TU1610YR-20_P001,TU1610YR-20_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
137,TU1610YR1-33-X108Z2_P001,TU1610YR1-33-X108Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
138,TU1610YR1-33-X101USZ2_P001,TU1610YR1-33-X101USZ2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
