id,item_id,item_code,created_at,updated_at
150,4367,TU1610YR-100,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
151,12042,TU1610Y-33-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
152,12935,TU1610Y-33-X108Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
153,20116,TU1610Y-33-X101USZ2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
154,19818,TU1610Y-33-X101USZ1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
155,12062,TU1610Y3-33-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
156,20136,TU1610Y3-33-X101USZ2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
157,5303,TU1610Y3-20Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
158,4660,TU1610Y3-20Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
159,5302,TU1610Y3-100Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
160,4659,TU1610Y3-100Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
161,11743,TU1610Y3-100-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
162,12061,TU1610Y2-33-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
163,20135,TU1610Y2-33-X101USZ2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
164,5301,TU1610Y2-20Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
165,4658,TU1610Y2-20Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
166,5300,TU1610Y2-100Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
167,4657,TU1610Y2-100Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
168,11742,TU1610Y2-100-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
169,5263,TU1610Y-20Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
170,4620,TU1610Y-20Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
171,4497,TU1610Y-20Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
172,18999,TU1610Y-20-X214Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
173,4362,TU1610Y-20,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
174,12060,TU1610Y1-33-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
175,20134,TU1610Y1-33-X101USZ2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
176,5299,TU1610Y1-20Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
177,4656,TU1610Y1-20Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
178,5298,TU1610Y1-100Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
179,4655,TU1610Y1-100Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
180,11741,TU1610Y1-100-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
181,5262,TU1610Y-100Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
182,19087,TU1610Y-100-X214Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
183,11723,TU1610Y-100-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
184,12858,TU1610Y-100-X108Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
185,4363,TU1610Y-100,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
186,12041,TU1610W-33-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
187,12934,TU1610W-33-X108Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
